gid,lon,lat
마라12ba91ab,128.7373828000,35.2114162300
마라12ba91ba,128.7374170000,35.2136699800
마라12ba91bb,128.7374512000,35.2159237400
마라12ba92aa,128.7374854000,35.2181774900
마라12ba92ab,128.7375196000,35.2204312400
마라12ba92ba,128.7375538000,35.2226849900
마라12ba92bb,128.7375881000,35.2249387400
마라12ba93aa,128.7376223000,35.2271924900
마라12ba93ab,128.7376565000,35.2294462400
마라12ba93ba,128.7376908000,35.2316999800
마라12ba93bb,128.7377250000,35.2339537300
마라12ba94aa,128.7377592000,35.2362074800
마라12ba94ab,128.7377935000,35.2384612200
마라12ba94ba,128.7378277000,35.2407149600
마라12ba94bb,128.7378620000,35.2429687100
마라12ba95aa,128.7378962000,35.2452224500
마라12ba95ab,128.7379305000,35.2474761900
마라12ba95ba,128.7379648000,35.2497299300
마라12ba95bb,128.7379990000,35.2519836700
마라12ba96aa,128.7380333000,35.2542374100
마라12ba96ab,128.7380676000,35.2564911400
마라12ba96ba,128.7381018000,35.2587448800
마라12ba96bb,128.7381361000,35.2609986200
마라12ba97aa,128.7381704000,35.2632523500
마라12ba97ab,128.7382047000,35.2655060800
마라12ba97ba,128.7382390000,35.2677598200
마라12ba97bb,128.7382733000,35.2700135500
마라12ba98aa,128.7383076000,35.2722672800
마라12ba98ab,128.7383419000,35.2745210100
마라12ba98ba,128.7383762000,35.2767747400
마라12ba98bb,128.7384105000,35.2790284700
마라12ba99aa,128.7384448000,35.2812822000
마라12ba99ab,128.7384792000,35.2835359300
마라12ba99ba,128.7385135000,35.2857896500
마라12ba99bb,128.7385478000,35.2880433800
마라12bb86ba,128.7394783000,35.1685666800
마라12bb86bb,128.7395125000,35.1708204500
마라12bb90ba,128.7400261000,35.2046268700
마라12bb90bb,128.7400604000,35.2068806200
마라12bb91aa,128.7400946000,35.2091343800
마라12bb91ab,128.7401289000,35.2113881300
마라12bb91ba,128.7401632000,35.2136418800
마라12bb91bb,128.7401975000,35.2158956300
마라12bb92aa,128.7402318000,35.2181493800
마라12bb92ab,128.7402660000,35.2204031300
마라12bb92ba,128.7403003000,35.2226568800
마라12bb92bb,128.7403346000,35.2249106300
마라12bb93aa,128.7403689000,35.2271643700
마라12bb93ab,128.7404032000,35.2294181200
마라12bb93ba,128.7404376000,35.2316718600
마라12bb93bb,128.7404719000,35.2339256100
마라12bb94aa,128.7405062000,35.2361793500
마라12bb94ab,128.7405405000,35.2384330900
마라12bb94ba,128.7405748000,35.2406868300
마라12bb94bb,128.7406092000,35.2429405700
마라12bb95aa,128.7406435000,35.2451943100
마라12bb95ab,128.7406778000,35.2474480500
마라12bb95ba,128.7407122000,35.2497017900
마라12bb95bb,128.7407465000,35.2519555300
마라12bb96aa,128.7407809000,35.2542092600
마라12bb96ab,128.7408152000,35.2564630000
